date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:15:56	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Nov%202025%2000:15:55%20GMT	https://asimshakoordev.vercel.app/robots.txt		(from )
05:15:56	176262/176262	---MCZ	200	added ('OK')	text/html	etag:W/%22b7d77a8cfd0f7c8458424fe793dbfadc%22	https://asimshakoordev.vercel.app/	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/index.html	(from )
05:15:58	184281/184281	---M--	200	added ('OK')	image/png	etag:%227b90ffb4529e32322f0b0e4281287716%22	https://res.cloudinary.com/do3bw9naj/image/upload/v1738770167/v41ts9jshyqwgh9zhy9g.png	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/res.cloudinary.com/do3bw9naj/image/upload/v1738770167/v41ts9jshyqwgh9zhy9g.png	(from https://asimshakoordev.vercel.app/)
05:15:58	31446/31446	---MCZ	200	added ('OK')	text/css	etag:W/%2296ff9ce087b26e76757454ccc5708e58%22	https://asimshakoordev.vercel.app/CSS/style.css	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/CSS/style.css	(from https://asimshakoordev.vercel.app/)
05:15:58	345/345	---M--	200	added ('OK')	text/css	etag:%222523bc334cb035605f3d6a8f10eb4054%22	https://asimshakoordev.vercel.app/CSS/skin/color1.css	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/CSS/skin/color1.css	(from https://asimshakoordev.vercel.app/)
05:15:59	101784/101784	---M-Z	200	added ('OK')	text/css	etag:%22630e6e62-543a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	(from https://asimshakoordev.vercel.app/)
05:15:59	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Oct%202025%2019:03:06%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/unpkg.com/aos@2.3.1/dist/aos.css	(from https://asimshakoordev.vercel.app/)
05:16:00	41471/41471	---M--	200	added ('OK')	image/png	etag:%224ed817f87209770659dcb79b56a946fa%22	https://asimshakoordev.vercel.app/Favicon/apple-touch-icon.png	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/Favicon/apple-touch-icon.png	(from https://asimshakoordev.vercel.app/)
05:16:00	2266/2266	---M--	200	added ('OK')	image/png	etag:%2252f6c9469bbccb39a267f94cc19b6cfc%22	https://asimshakoordev.vercel.app/Favicon/favicon-32x32.png	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/Favicon/favicon-32x32.png	(from https://asimshakoordev.vercel.app/)
05:16:00	809/809	---M--	200	added ('OK')	image/png	etag:%2226cd5c19ab05e82ade5316a6151b66bd%22	https://asimshakoordev.vercel.app/Favicon/favicon-16x16.png	C:/Users/Prime%20Laptops/OneDrive/Desktop/web-tempate/portfolio/asimshakoordev.vercel.app/Favicon/favicon-16x16.png	(from https://asimshakoordev.vercel.app/)
